date,hour,demand
2021-03-01,0,61.004807
2021-03-01,1,52.330482
2021-03-01,2,50.801025
2021-03-01,3,48.59951
2021-03-01,5,51.086353
2021-03-01,6,53.946175
2021-03-01,7,63.599285
2021-03-01,8,77.19056
2021-03-01,9,86.48725
2021-03-01,10,77.16689
2021-03-01,11,74.69837
2021-03-01,12,96.11282
2021-03-01,13,101.18855
2021-03-01,14,99.56778
2021-03-01,15,95.7818
2021-03-01,16,94.41534
2021-03-01,17,106.29629
2021-03-01,18,99.08175
2021-03-01,19,98.86452
2021-03-01,20,89.095116
2021-03-01,21,79.1984
2021-03-01,22,76.0512
2021-03-01,23,70.03884
2021-03-02,0,60.988922
2021-03-02,1,54.423393
2021-03-02,2,58.27305
2021-03-02,4,60.314648
2021-03-02,6,59.420593
2021-03-02,7,68.63132
2021-03-02,8,77.37541
2021-03-02,9,82.70266
2021-03-02,10,73.52689
2021-03-02,11,75.71107
2021-03-02,12,88.791504
2021-03-02,13,95.445206
2021-03-02,14,91.77366
2021-03-02,15,85.578316
2021-03-02,16,93.160385
2021-03-02,17,107.21038
2021-03-02,18,87.873856
2021-03-02,19,87.99475
2021-03-02,20,83.69677
2021-03-02,21,71.442604
2021-03-02,22,66.52979
2021-03-02,23,58.40566
2021-03-03,0,60.560104
2021-03-03,2,56.52715
2021-03-03,3,58.60986
2021-03-03,4,63.09389
2021-03-03,5,63.355556
2021-03-03,6,62.20138
2021-03-03,7,67.61724
2021-03-03,8,72.927605
2021-03-03,9,77.81908
2021-03-03,10,71.029396
2021-03-03,11,73.24709
2021-03-03,12,75.583786
2021-03-03,13,76.06241
2021-03-03,14,76.76829
2021-03-03,15,68.80814
2021-03-03,16,81.284195
2021-03-03,17,88.594666
2021-03-03,18,85.39524
2021-03-03,19,82.70274
2021-03-03,20,82.518845
2021-03-03,21,71.63623
2021-03-03,22,69.34291
2021-03-03,23,67.04717
2021-03-04,0,66.84143
2021-03-04,1,58.340374
2021-03-04,2,61.28449
2021-03-04,4,65.55389
2021-03-04,6,64.719864
2021-03-04,7,70.40569
2021-03-04,8,76.06343
2021-03-04,9,75.97234
2021-03-04,10,73.36742
